Tweets	
 sayın cumhurbaşkanım turizm için ertelendiğini biliyoruz fakat illa ki uygun zaman vardır lütfen sağlığımız ve psikol 	
 bir kere ya bir kere gencinizi dinleyin biz yanlış bir şey demiyoruz ki herkes için doğrusunu söylüyoruz 	
o kadar çok mağduruz ki neye üzüleceğime şaşırdım hiçbir yerden destek alamıyoruz yasak var dışarı çıkamıyoruz   	
 bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm bakanI 	
 turizm yılı gençlik geleceğinizi kurtarır 	
 sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu zaten  	
 bunu söylemek bile üzüyor ama turizm bu kadar değerliyse sınavı ağustos sonu veya eylül gibi alsanız da olur 	
 mayıs ı gençlere armağan eden ulu önder mustafa kemal atatürk ten turizm için gençlerin canını ve geleceğini hiçe say 	
 turizm mi önemli ülkenin geleceği olan bizler mi 	
 erteleyin son iftarlarimizi rahat yapalım sağlık bakanı riskli diyor turizm bakanın olmayan beynine sokayim 	
 turizm mi önemli cidden 	
 hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin ki iki tarafın gönlü olsun 	
 mağdur olmasın diye tek bir ögrenci için tren durağı işleten japonya turizm geliri için milyonlarca ögrencisini hiçe sayan ülkem	
 sınav eylül de olabilirdi aileler bu uzun maratondan bunalıp çocuklarına nefes aldırmak için tatile çıkabilirlerdi 	
 turizm temmuz içinse ağustos eylule alın sınavı 	
 sınavı öne almadan önce maskelerin ve dezenfektanların bulaşmayı önleme de yetersiz olduğunu o yüzden evlerden çıkmamamız gerektiğini ne zaman anlayacaksınız 	
 dünyaca ünlü turizm merkezi uzungöl de kovid sessizliği 	
 diyanet milyar liralık harcama ile bakanlığı geride bıraktı cumhuriyet  yer alan habere göre diyanet aylık harcaması 	
 sayın erteleyin ki bayram olsun turizm gençlikten önemli değildir 	
 geçen gün turizm bakanı olayında reise had bildirmeye çalışan saçma tavırlar içinde olan birkaç hesap vardı sinirlendim 	
 bakanı mehmet nuri ersoy  istanbul  fethini işgal olarak nitelendirmesi türk milletince kabul edilecek mi 	
hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin  iki tarafın gönlü olsun 	
 trabzon  turizm sektörünün temsilcileri ile biraraya geldik pandemi  turizm sektörüne etkileri ile coronavirü 	
 kurum yerli ve yabancı turistler için önemli bir turizm merkezi olan ilçemizin çehresini de değiştirecek	
 samet sayın cumhurbaşkanım erteleyinki bayram olsun turizm gençlikten önemli değildir 	
dedi ve yks tarihini turizm için öne çekti işte 	
 para bu kadar önemliyse gençliğin sağlığından adaylar bir kere daha tl versin bari turizm için ertelemenize gerek kalmaz 	
sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu 	
bugün saat nejla kurul ve eğitimsen şb bşk yurttaş yıldırım ile giderek büyüyen eğitim sorunlarını konuşacağız	
 gercekten niye kimse cikip aciklama yapmiyor bari aciklama yapin sundan ertelemiyoruz turizm bi aciklayin 	
 biz gençlerin hayallerini turizm için satmak yerine bize bırakacağınız geleceği güzelleştirebilmemiz için iş yapın	
 turizm bakanından daha değerli olduğumuzu bu günde gösterin bize 	
 çocuklarımızın geleceğini psikolojisini kaç paraya sattınız bu kadar öğrenci sizin turizm şirketi sahibi bakanınızın cebini doldurmak içinmi var 	
 keşke bize turizm sizden önemlidir diye açıklama yapsanız en azından dürüst olursunuz 	
 siz bilirsiniz ama benim bir fikrim var sınavı eylül ayına alın ne turizm zarar görsün ne egitim 	
 hiçbir ülke turizm geliri için gençliğini ve geleceğini satmaz 	
bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm 	
 turizm yokluğundan korkuyorsanız erteleyin ağustosa aytden çıkınca dağıtın herkese bayrak zafer bayramını kutlayalım 	
